client_id,client_name,client_type,tier,region_focus,active_since,credit_limit_usd,status
CLIENT_00000,Woodward-Fernandez,Broadcaster,Tier 3,Europe,1993,4226580,On Hold
CLIENT_00001,"White, Butler and Morgan",Independent,Tier 2,Europe,1991,4129282,On Hold
CLIENT_00002,"Cox, Young and Garcia",Independent,Tier 2,Global,1993,219336,Active
CLIENT_00003,Conway Ltd,Aggregator,Tier 1,APAC,2000,4442712,Active
CLIENT_00004,"Callahan, Washington and Klein",Streaming Service,Tier 1,Global,2016,2476542,Active
CLIENT_00005,Mcdonald Ltd,Aggregator,Tier 3,North America,2019,3766193,On Hold
CLIENT_00006,Johnson Group,Aggregator,Tier 2,Global,1995,4212896,Active
CLIENT_00007,Cox Ltd,Aggregator,Tier 1,APAC,2006,3896420,Active
CLIENT_00008,Martinez-Scott,Broadcaster,Tier 2,Europe,2011,2449614,Active
CLIENT_00009,Oliver-Phillips,Broadcaster,Tier 2,LATAM,1999,1653336,Active
CLIENT_00010,Ponce PLC,Independent,Tier 3,North America,1991,767640,Active
CLIENT_00011,Carter-Moore,Broadcaster,Tier 2,Europe,2005,1716198,Active
CLIENT_00012,Tran LLC,Broadcaster,Tier 1,Europe,1998,2020801,On Hold
CLIENT_00013,Gentry-Tran,Major Studio,Tier 3,Europe,1993,3535729,Active
CLIENT_00014,Lewis LLC,Broadcaster,Tier 2,LATAM,2019,1029357,Active
CLIENT_00015,Martinez-Fox,Aggregator,Tier 3,LATAM,2002,888474,On Hold
CLIENT_00016,Montgomery Group,Streaming Service,Tier 1,North America,2021,2719232,Active
CLIENT_00017,Haney Group,Aggregator,Tier 1,North America,1994,4493864,Active
CLIENT_00018,"Garcia, Flores and Matthews",Major Studio,Tier 1,Global,2024,3371034,Active
CLIENT_00019,Ramos Inc,Streaming Service,Tier 3,Europe,2008,2701713,On Hold
CLIENT_00020,Perkins-Smith,Broadcaster,Tier 3,APAC,1991,4159541,Active
CLIENT_00021,Weaver-Perry,Major Studio,Tier 3,APAC,2012,4500037,Active
CLIENT_00022,Shaw-Henderson,Independent,Tier 2,Global,2002,1805848,On Hold
CLIENT_00023,King-Carter,Aggregator,Tier 1,Global,2004,2672182,Active
CLIENT_00024,"Mckee, Price and King",Independent,Tier 3,Global,2000,678513,On Hold
CLIENT_00025,Medina Inc,Independent,Tier 3,Europe,1999,3836919,Active
CLIENT_00026,"Cameron, Lewis and Smith",Aggregator,Tier 2,North America,2008,4499932,Active
CLIENT_00027,"Evans, Montgomery and Moore",Broadcaster,Tier 2,Europe,2021,2370087,Active
CLIENT_00028,Campbell LLC,Independent,Tier 3,Global,2001,3737024,On Hold
CLIENT_00029,Mitchell-Oconnell,Streaming Service,Tier 1,Europe,2018,2415866,Active
CLIENT_00030,"Bonilla, Petersen and Brooks",Independent,Tier 3,APAC,2009,4139138,On Hold
CLIENT_00031,Murray-Cameron,Independent,Tier 2,North America,2014,2376255,Active
CLIENT_00032,Washington PLC,Broadcaster,Tier 1,APAC,1998,4335423,Active
CLIENT_00033,"Williams, Anderson and Williams",Major Studio,Tier 1,Europe,2001,4381940,Active
CLIENT_00034,Edwards Group,Broadcaster,Tier 1,North America,2011,3139365,Active
CLIENT_00035,Soto-Cochran,Independent,Tier 2,North America,1995,3608067,Active
CLIENT_00036,"Ritter, Davis and Sanders",Independent,Tier 1,Europe,1994,279162,Active
CLIENT_00037,Tran PLC,Streaming Service,Tier 1,LATAM,2017,4494495,Active
CLIENT_00038,Miller-Myers,Broadcaster,Tier 1,Global,1999,1752302,Active
CLIENT_00039,Miller and Sons,Streaming Service,Tier 3,APAC,1993,2084238,Active
CLIENT_00040,Serrano PLC,Independent,Tier 1,North America,2019,1583732,Active
CLIENT_00041,Jackson LLC,Major Studio,Tier 1,North America,2009,652054,Active
CLIENT_00042,"Tran, Bryant and Martin",Streaming Service,Tier 1,Global,2002,802539,Active
CLIENT_00043,"Hoffman, Mckinney and Thompson",Streaming Service,Tier 3,LATAM,1995,1196985,Active
CLIENT_00044,Hubbard PLC,Independent,Tier 2,North America,1998,4439553,On Hold
CLIENT_00045,Livingston Group,Broadcaster,Tier 2,Europe,1991,3529954,Active
CLIENT_00046,"Pace, Salazar and Giles",Streaming Service,Tier 2,North America,2019,2130107,Active
CLIENT_00047,"Maldonado, Garcia and Gregory",Streaming Service,Tier 1,Europe,2001,2603105,Active
CLIENT_00048,Foley-Robinson,Independent,Tier 2,LATAM,2003,599805,Active
CLIENT_00049,Davis-Morton,Streaming Service,Tier 2,Europe,2018,3365942,Active
CLIENT_00050,Matthews LLC,Independent,Tier 3,APAC,2020,2400726,Active
CLIENT_00051,"Cobb, Nguyen and Gonzales",Aggregator,Tier 1,Europe,2002,1774834,Active
CLIENT_00052,Singh-Sanchez,Independent,Tier 1,APAC,2015,3770007,On Hold
CLIENT_00053,"Frost, Adkins and Davis",Independent,Tier 2,North America,2014,235606,Active
CLIENT_00054,"Delgado, Adams and Hudson",Aggregator,Tier 2,LATAM,2002,4275914,Active
CLIENT_00055,Buchanan-Meyer,Independent,Tier 2,North America,1999,1427666,Active
CLIENT_00056,Lawson-Mcdonald,Aggregator,Tier 3,LATAM,2004,1381245,On Hold
CLIENT_00057,Bishop LLC,Aggregator,Tier 2,Global,2016,240446,Active
CLIENT_00058,"Beasley, Hines and Johnson",Major Studio,Tier 1,North America,2007,4473940,Active
CLIENT_00059,Whitaker-Turner,Broadcaster,Tier 2,APAC,2001,2956252,On Hold
CLIENT_00060,"Hudson, Valencia and Garner",Independent,Tier 1,Europe,2023,2911554,Active
CLIENT_00061,Ramirez Group,Major Studio,Tier 1,North America,1997,2591583,Active
CLIENT_00062,Smith Inc,Aggregator,Tier 2,Europe,1999,3832471,Active
CLIENT_00063,Dunlap-Andrews,Major Studio,Tier 2,Global,1998,4157920,Active
CLIENT_00064,Lewis Inc,Independent,Tier 1,APAC,2020,2762114,Active
CLIENT_00065,Ruiz-Hamilton,Major Studio,Tier 3,APAC,2020,1498933,On Hold
CLIENT_00066,Riddle-Benson,Streaming Service,Tier 3,LATAM,2000,1345356,On Hold
CLIENT_00067,Sanchez Inc,Aggregator,Tier 2,LATAM,2018,1724444,Active
CLIENT_00068,Davis PLC,Major Studio,Tier 1,Europe,1991,2466495,Active
CLIENT_00069,Macdonald Inc,Streaming Service,Tier 3,LATAM,1990,2224151,Active
CLIENT_00070,Sparks-David,Aggregator,Tier 2,Global,2007,3922527,Active
CLIENT_00071,Pham LLC,Independent,Tier 2,Europe,2011,4468779,On Hold
CLIENT_00072,Vasquez PLC,Aggregator,Tier 3,APAC,2012,417614,Active
CLIENT_00073,"Arnold, Fowler and Richmond",Broadcaster,Tier 3,Global,1993,2913349,On Hold
CLIENT_00074,Wilson-Hill,Independent,Tier 3,North America,1997,171202,Active
CLIENT_00075,"Patterson, Pearson and Mclaughlin",Aggregator,Tier 3,LATAM,2007,1948752,Active
CLIENT_00076,Benson-Fields,Major Studio,Tier 2,APAC,2020,4043355,Active
CLIENT_00077,"Evans, Valencia and Peterson",Streaming Service,Tier 3,Global,2006,1209496,Active
CLIENT_00078,Erickson and Sons,Independent,Tier 3,North America,2023,1019614,Active
CLIENT_00079,Blevins LLC,Broadcaster,Tier 2,Europe,2012,4896749,On Hold
CLIENT_00080,Williamson-Ramirez,Aggregator,Tier 3,APAC,1994,3890354,Active
CLIENT_00081,Ramsey-Mccoy,Aggregator,Tier 3,North America,2024,326033,Active
CLIENT_00082,"Miller, Baker and Dorsey",Aggregator,Tier 2,LATAM,2021,2501422,Active
CLIENT_00083,Price and Sons,Broadcaster,Tier 2,Europe,2008,335660,Active
CLIENT_00084,"Wilson, Valencia and Howe",Independent,Tier 3,Europe,2022,2757996,Active
CLIENT_00085,"Sharp, Wolf and Davies",Independent,Tier 2,Global,2011,971807,Active
CLIENT_00086,Small-Adams,Independent,Tier 3,Global,2008,2699432,Active
CLIENT_00087,Ochoa-Jones,Broadcaster,Tier 3,Europe,1996,4172357,Active
CLIENT_00088,Bryant PLC,Aggregator,Tier 1,APAC,2000,1400879,Active
CLIENT_00089,Harris Inc,Streaming Service,Tier 3,LATAM,2000,3490637,Active
CLIENT_00090,Franklin Group,Aggregator,Tier 3,LATAM,1998,2220530,Active
CLIENT_00091,"Anderson, Newman and Burns",Streaming Service,Tier 3,Europe,2010,1769403,Active
