request_id,version_id,client_id,delivery_point_id,request_date,deadline,status,actual_completion,priority,file_size_gb
DELIVERY_000000,VER_TITLE_000089_002,CLIENT_00156,DP_00050,2026-04-28T22:32:45.883192,2026-05-11T22:32:45.883192,Delayed,,Urgent,207.25
DELIVERY_000001,VER_TITLE_002789_000,CLIENT_00122,DP_00043,2026-03-08T22:32:45.884205,2026-04-07T22:32:45.884205,Failed,,High,232.56
DELIVERY_000002,VER_TITLE_001570_004,CLIENT_00001,DP_00083,2026-04-18T22:32:45.884948,2026-04-24T22:32:45.884948,In Progress,,Medium,268.2
DELIVERY_000003,VER_TITLE_004975_000,CLIENT_00111,DP_00148,2026-02-24T22:32:45.885776,2026-03-13T22:32:45.885776,Pending,,Low,151.24
DELIVERY_000004,VER_TITLE_000595_003,CLIENT_00078,DP_00005,2026-05-16T22:32:45.886640,2026-05-24T22:32:45.886640,Delayed,,Low,262.43
DELIVERY_000005,VER_TITLE_004003_004,CLIENT_00073,DP_00148,2026-03-29T22:32:45.887332,2026-04-08T22:32:45.887332,Delayed,,High,472.82
DELIVERY_000006,VER_TITLE_004068_001,CLIENT_00142,DP_00010,2026-03-06T22:32:45.888213,2026-03-25T22:32:45.888213,In Progress,,Low,70.78
DELIVERY_000007,VER_TITLE_002685_000,CLIENT_00053,DP_00114,2026-04-02T22:32:45.888917,2026-04-27T22:32:45.888917,Pending,,Urgent,307.52
DELIVERY_000008,VER_TITLE_002706_001,CLIENT_00137,DP_00025,2026-03-17T22:32:45.889597,2026-03-23T22:32:45.889597,Delayed,,High,97.7
DELIVERY_000009,VER_TITLE_004326_001,CLIENT_00151,DP_00106,2026-05-02T22:32:45.890448,2026-05-09T22:32:45.890448,Delayed,,High,177.33
DELIVERY_000010,VER_TITLE_003933_002,CLIENT_00008,DP_00028,2026-05-12T22:32:45.891097,2026-05-17T22:32:45.891097,In Progress,,Urgent,178.18
DELIVERY_000011,VER_TITLE_000348_002,CLIENT_00182,DP_00122,2026-03-23T22:32:45.891739,2026-04-01T22:32:45.891739,Pending,,Urgent,220.72
DELIVERY_000012,VER_TITLE_003704_001,CLIENT_00010,DP_00120,2026-03-22T22:32:45.892498,2026-04-10T22:32:45.892498,Completed,2026-05-20T22:32:45.892519,High,198.23
DELIVERY_000013,VER_TITLE_003048_002,CLIENT_00132,DP_00068,2026-05-07T22:32:45.893190,2026-05-17T22:32:45.893190,Pending,,High,284.17
DELIVERY_000014,VER_TITLE_002680_003,CLIENT_00132,DP_00015,2026-04-20T22:32:45.893837,2026-04-30T22:32:45.893837,In Progress,,Medium,185.46
DELIVERY_000015,VER_TITLE_001739_004,CLIENT_00047,DP_00129,2026-03-28T22:32:45.894567,2026-04-09T22:32:45.894567,Pending,,Low,162.54
DELIVERY_000016,VER_TITLE_003341_001,CLIENT_00126,DP_00126,2026-05-16T22:32:45.895227,2026-06-13T22:32:45.895227,Delayed,,Urgent,264.84
DELIVERY_000017,VER_TITLE_002047_004,CLIENT_00106,DP_00077,2026-03-08T22:32:45.895873,2026-03-23T22:32:45.895873,Pending,,High,192.8
DELIVERY_000018,VER_TITLE_001810_001,CLIENT_00061,DP_00059,2026-02-22T22:32:45.896605,2026-03-07T22:32:45.896605,Failed,,Urgent,340.01
DELIVERY_000019,VER_TITLE_004422_001,CLIENT_00017,DP_00047,2026-03-08T22:32:45.897268,2026-04-05T22:32:45.897268,Pending,,Low,364.5
DELIVERY_000020,VER_TITLE_004781_002,CLIENT_00156,DP_00072,2026-03-12T22:32:45.897920,2026-04-06T22:32:45.897920,Failed,,Low,233.04
DELIVERY_000021,VER_TITLE_001001_000,CLIENT_00164,DP_00029,2026-04-21T22:32:45.898656,2026-04-30T22:32:45.898656,In Progress,,Low,362.22
DELIVERY_000022,VER_TITLE_004874_003,CLIENT_00018,DP_00077,2026-03-25T22:32:45.899431,2026-04-19T22:32:45.899431,Pending,,High,492.36
DELIVERY_000023,VER_TITLE_004316_000,CLIENT_00059,DP_00135,2026-02-28T22:32:45.900245,2026-03-11T22:32:45.900245,In Progress,,Medium,338.8
DELIVERY_000024,VER_TITLE_000044_004,CLIENT_00073,DP_00129,2026-03-29T22:32:45.901087,2026-04-23T22:32:45.901087,Failed,,Urgent,96.37
DELIVERY_000025,VER_TITLE_004993_003,CLIENT_00173,DP_00099,2026-05-16T22:32:45.901747,2026-06-15T22:32:45.901747,Failed,,Medium,134.76
DELIVERY_000026,VER_TITLE_002992_000,CLIENT_00051,DP_00129,2026-05-05T22:32:45.902449,2026-05-12T22:32:45.902449,Failed,,Urgent,171.06
DELIVERY_000027,VER_TITLE_004853_000,CLIENT_00109,DP_00131,2026-04-30T22:32:45.903110,2026-05-26T22:32:45.903110,Delayed,,Urgent,246.59
DELIVERY_000028,VER_TITLE_002271_003,CLIENT_00137,DP_00129,2026-03-09T22:32:45.903763,2026-03-16T22:32:45.903763,Pending,,Urgent,467.26
DELIVERY_000029,VER_TITLE_002317_003,CLIENT_00123,DP_00070,2026-04-28T22:32:45.904477,2026-05-16T22:32:45.904477,Pending,,Low,209.1
DELIVERY_000030,VER_TITLE_001315_000,CLIENT_00135,DP_00020,2026-03-21T22:32:45.905610,2026-03-26T22:32:45.905610,Failed,,Medium,436.59
DELIVERY_000031,VER_TITLE_001696_000,CLIENT_00105,DP_00002,2026-04-28T22:32:45.906392,2026-05-17T22:32:45.906392,Delayed,,Low,59.13
DELIVERY_000032,VER_TITLE_002521_001,CLIENT_00199,DP_00106,2026-05-18T22:32:45.907110,2026-06-12T22:32:45.907110,Failed,,High,108.25
DELIVERY_000033,VER_TITLE_002847_000,CLIENT_00141,DP_00132,2026-03-28T22:32:45.907793,2026-04-18T22:32:45.907793,Delayed,,Medium,289.04
DELIVERY_000034,VER_TITLE_002785_000,CLIENT_00033,DP_00030,2026-04-07T22:32:45.908525,2026-04-14T22:32:45.908525,Delayed,,Urgent,490.85
