spec_id,delivery_point_id,version_id,required_resolution,required_audio,required_hdr,required_container,max_bitrate_mbps,is_mandatory
ad63d0b7-574a-4b64-866a-d33eeda1212b,DP_00001,VER_TITLE_001347_005,8K,7.1,HDR10,MXF,40,True
6405e275-dc1d-4c9e-94fe-a81a73979d9b,DP_00001,VER_TITLE_001150_000,HD,Atmos,HDR10+,IMF,5,True
93c18dc8-0a0c-47fc-95b9-82081a0a7ab6,DP_00001,VER_TITLE_002303_003,HD,5.1,HDR10+,MKV,22,False
b567f9db-c3f5-4226-9e5c-4cc6aa5026fa,DP_00001,VER_TITLE_001884_000,HD,7.1,SDR,MKV,9,True
92f6a342-5d55-4664-9e78-e6ab16967c9a,DP_00001,VER_TITLE_001877_005,8K,Atmos,Dolby Vision,MKV,40,False
c43bab1e-c4cd-447f-a8e6-95741c807aae,DP_00002,VER_TITLE_004617_001,8K,2.0,Dolby Vision,MXF,10,False
95b8dc33-301a-4d6b-9ca9-5d5d6bbc0425,DP_00002,VER_TITLE_001198_002,HD,7.1,HDR10,IMF,22,False
d06f05ca-e76f-4090-8fba-0aceb15094f0,DP_00002,VER_TITLE_003175_003,4K,7.1,SDR,IMF,22,True
7b0535f3-033a-4327-a7c3-dc9350eb41a7,DP_00002,VER_TITLE_000569_002,8K,5.1,HDR10+,IMF,50,True
3aae95cd-3d59-466f-b53b-0f1f3467229b,DP_00002,VER_TITLE_003084_000,HD,2.0,Dolby Vision,IMF,26,True
2edc6127-721b-4961-9777-0652612add84,DP_00003,VER_TITLE_001436_003,8K,Atmos,HDR10+,MP4,46,False
54cc3957-2c1c-4f96-80fa-2dbf12526a47,DP_00003,VER_TITLE_002417_004,4K,2.0,SDR,IMF,12,True
4867484a-a87b-4833-a040-cd9d62d33adb,DP_00003,VER_TITLE_003225_003,8K,5.1,HDR10+,MP4,19,False
203c7274-eec5-48f8-99f3-c7c99ae79fa0,DP_00003,VER_TITLE_004037_001,HD,2.0,HDR10+,MXF,31,False
