language_code,language_name,language_family
LANG_001,Sardinian,Sino-Tibetan
LANG_002,Hebrew,Indo-European
LANG_003,Japanese,Indo-European
LANG_004,Bislama,Afroasiatic
LANG_005,Kurdish,Indo-European
LANG_006,Swahili,Other
LANG_007,Lingala,Other
LANG_008,Interlingue,Afroasiatic
LANG_009,Sinhala,Sino-Tibetan
LANG_010,Haitian,Indo-European
LANG_011,Kuanyama,Afroasiatic
LANG_012,Czech,Sino-Tibetan
LANG_013,Swahili,Indo-European
LANG_014,Maori,Indo-European
LANG_015,Avaric,Sino-Tibetan
LANG_016,Kinyarwanda,Sino-Tibetan
LANG_017,Icelandic,Sino-Tibetan
LANG_018,Fulah,Other
LANG_019,Maltese,Sino-Tibetan
LANG_020,Romansh,Afroasiatic
LANG_021,Avestan,Sino-Tibetan
LANG_022,Kannada,Other
LANG_023,Somali,Afroasiatic
LANG_024,Ewe,Afroasiatic
LANG_025,Welsh,Sino-Tibetan
LANG_026,Dzongkha,Indo-European
LANG_027,Interlingue,Sino-Tibetan
LANG_028,Sindhi,Afroasiatic
LANG_029,Burmese,Sino-Tibetan
LANG_030,Romansh,Afroasiatic
