job_id,version_id,language_code,job_type,status,completion_date,quality_score,vendor
3e9e0ed5-f0af-4119-88ba-2cebcf4238f5,VER_TITLE_000000_002,LANG_001,Subtitling,Completed,2026-03-31T18:57:20.186247,0.9857160563114362,Internal
98104240-72c8-4e67-b6aa-35b735130f24,VER_TITLE_000001_000,LANG_006,Audio Description,In Progress,,,Internal
a677f34e-7d8f-40a4-86a4-4480868cf144,VER_TITLE_000001_001,LANG_017,Subtitling,Pending,,,Jackson Ltd
230baff6-314c-478b-a6e2-aa5f982b9d80,VER_TITLE_000001_002,LANG_012,Dubbing,Completed,2026-02-06T18:57:20.186613,0.934975241389835,Internal
cd609840-bdf2-4746-881b-ce75a4318658,VER_TITLE_000001_002,LANG_008,Dubbing,In Progress,,,Internal
09096445-6e67-450c-88d8-83e5161910ee,VER_TITLE_000001_004,LANG_001,Dubbing,Completed,2025-12-02T18:57:20.186692,0.9503828562848031,Internal
d26bceef-255e-4b35-bc85-750332bc0b2a,VER_TITLE_000001_004,LANG_008,Subtitling,In Progress,,,Internal
5182400d-90cd-4e87-ba29-cc0a05b845a2,VER_TITLE_000001_004,LANG_030,Voice-over,QA Review,,,"Green, Levine and Williamson"
4020fc42-2aae-4075-aeeb-510913d2e0da,VER_TITLE_000002_000,LANG_010,Dubbing,Pending,,,"Williams, Flores and Marshall"
fd2bf067-e252-4fb6-877e-99e3087dc1e4,VER_TITLE_000002_000,LANG_025,Voice-over,QA Review,,,Campos PLC
8a1520eb-4490-4416-a924-80da25a71a8f,VER_TITLE_000002_000,LANG_023,Audio Description,In Progress,,,Internal
5caa1468-97cc-4c5e-825e-699879acf29f,VER_TITLE_000002_002,LANG_020,Subtitling,Pending,,,Bullock LLC
5e42f96d-7e82-4095-be88-d75141b7f6da,VER_TITLE_000003_000,LANG_020,Voice-over,Pending,,,"Hicks, Hodges and Davidson"
7c308f9d-9f2b-4ed9-a8f0-84c50375d0d9,VER_TITLE_000003_000,LANG_018,Voice-over,Completed,2026-04-16T18:57:20.187353,0.9747493695140379,Scott-Miles
f0902133-2ed2-4e7d-bc3d-cbd8c3cd1b9a,VER_TITLE_000003_000,LANG_004,Subtitling,In Progress,,,"Osborne, Richard and Page"
a6bf51a0-b166-4b4e-acd1-969cbdb6f0e3,VER_TITLE_000003_002,LANG_018,Voice-over,Completed,2025-12-30T18:57:20.187644,0.8012768349877197,"Morales, Hernandez and Guzman"
9bc06a51-dc0e-4ed8-860a-98998a0a9634,VER_TITLE_000003_003,LANG_017,Audio Description,In Progress,,,Internal
1684011c-8757-4194-adc1-7c3f0a749c6f,VER_TITLE_000004_003,LANG_001,Voice-over,Completed,2026-03-10T18:57:20.187892,0.8062707476580151,Fox LLC
68b39c49-01fd-4d6f-a46a-047124d2d4f4,VER_TITLE_000004_004,LANG_021,Dubbing,In Progress,,,Internal
63157cb8-775b-42b7-9922-3b5468db070a,VER_TITLE_000005_000,LANG_021,Voice-over,Pending,,,Internal
6b4bc5a2-3860-42ce-9977-6c28bdec0c4d,VER_TITLE_000005_003,LANG_024,Subtitling,Completed,2025-11-27T18:57:20.188125,0.8906456989053775,Sanchez-Beard
3450c1be-1ec4-489f-bef3-d9f2fcd085f3,VER_TITLE_000005_004,LANG_020,Voice-over,Completed,2026-03-04T18:57:20.188305,0.7087425992301941,"Carroll, Brown and Carey"
cde90b02-a7bf-4fc2-8b38-eb2bf0a65d12,VER_TITLE_000007_000,LANG_020,Dubbing,QA Review,,,Internal
07cdfcf8-3960-4bc9-936d-91ee6f82fc6a,VER_TITLE_000007_005,LANG_025,Dubbing,Pending,,,Thomas-Peters
88484403-f4c0-45b4-988c-f53481bff2f3,VER_TITLE_000007_005,LANG_019,Dubbing,Completed,2026-03-17T18:57:20.188633,0.9983434982129726,Internal
ae98d2eb-6c8d-4b14-95c9-8d04cd4166e9,VER_TITLE_000008_001,LANG_006,Voice-over,Completed,2026-03-07T18:57:20.188696,0.8400503936726138,Riggs Ltd
2d9c1490-6c68-42bd-a349-7b855cd6df07,VER_TITLE_000008_001,LANG_010,Subtitling,In Progress,,,"Murray, Clay and Harrell"
640e5100-520a-43a5-8882-3c1487265bfc,VER_TITLE_000008_001,LANG_015,Subtitling,In Progress,,,Martin Inc
