version_id,title_id,version_type,resolution,frame_rate,audio_channels,hdr_format,file_size_gb,is_localized,created_date
VER_TITLE_000000_000,TITLE_000000,Remastered,4K,29.97,Atmos,HDR10,242.83,True,2025-10-19 22:32:41.942934
VER_TITLE_000000_001,TITLE_000000,Edited,4K,24,7.1,HDR10,255.44,False,2026-04-17 22:32:41.942951
VER_TITLE_000001_000,TITLE_000001,Original,4K,25,Atmos,HDR10+,141.39,True,2025-07-08 22:32:41.943005
VER_TITLE_000001_001,TITLE_000001,Original,8K,30,7.1,None,480.13,True,2026-01-10 22:32:41.943022
VER_TITLE_000001_002,TITLE_000001,Original,8K,60,2.0,None,146.98,True,2025-05-23 22:32:41.943030
VER_TITLE_000001_003,TITLE_000001,Remastered,4K,50,5.1,HDR10+,374.33,False,2025-09-11 22:32:41.943038
VER_TITLE_000002_000,TITLE_000002,Localized,4K,23.976,Atmos,HDR10,114.39,False,2025-08-24 22:32:41.943082
VER_TITLE_000002_001,TITLE_000002,Remastered,8K,60,2.0,None,89.26,False,2026-03-18 22:32:41.943090
VER_TITLE_000002_002,TITLE_000002,Edited,4K,24,7.1,None,231.72,False,2026-02-03 22:32:41.943096
VER_TITLE_000002_003,TITLE_000002,Localized,8K,30,2.0,HDR10+,105.85,True,2025-09-20 22:32:41.943102
VER_TITLE_000003_000,TITLE_000003,Original,8K,23.976,5.1,HDR10,325.3,False,2025-07-11 22:32:41.943138
VER_TITLE_000003_001,TITLE_000003,Localized,HD,24,5.1,HDR10+,439.7,True,2026-01-15 22:32:41.943144
VER_TITLE_000004_000,TITLE_000004,Edited,8K,25,7.1,HDR10+,451.4,False,2025-12-02 22:32:41.943178
VER_TITLE_000004_001,TITLE_000004,Original,8K,24,2.0,HDR10+,378.41,False,2026-05-16 22:32:41.943183
VER_TITLE_000004_002,TITLE_000004,Original,HD,25,2.0,HDR10,222.94,False,2026-04-16 22:32:41.943189
VER_TITLE_000004_003,TITLE_000004,Edited,4K,50,Atmos,HDR10,445.27,True,2025-12-31 22:32:41.943194
VER_TITLE_000004_004,TITLE_000004,Remastered,8K,30,Atmos,Dolby Vision,45.38,False,2025-11-10 22:32:41.943200
VER_TITLE_000005_000,TITLE_000005,Edited,HD,25,7.1,Dolby Vision,273.66,True,2026-02-16 22:32:41.943240
VER_TITLE_000005_001,TITLE_000005,Localized,8K,23.976,Atmos,SDR,42.28,False,2026-01-24 22:32:41.943246
VER_TITLE_000005_002,TITLE_000005,Localized,4K,25,7.1,SDR,278.73,False,2026-02-02 22:32:41.943251
VER_TITLE_000005_003,TITLE_000005,Original,8K,29.97,7.1,Dolby Vision,495.2,False,2026-02-13 22:32:41.943256
VER_TITLE_000005_004,TITLE_000005,Original,HD,29.97,5.1,Dolby Vision,24.24,False,2026-03-11 22:32:41.943261
VER_TITLE_000005_005,TITLE_000005,Edited,HD,30,Atmos,None,276.0,False,2026-03-02 22:32:41.943267
VER_TITLE_000006_000,TITLE_000006,Original,4K,25,7.1,Dolby Vision,174.16,False,2025-09-14 22:32:41.943305
VER_TITLE_000006_001,TITLE_000006,Edited,HD,30,7.1,None,400.27,False,2025-06-16 22:32:41.943311
VER_TITLE_000006_002,TITLE_000006,Original,HD,60,5.1,HDR10,347.97,False,2025-07-18 22:32:41.943316
VER_TITLE_000006_003,TITLE_000006,Original,4K,24,2.0,HDR10+,281.37,True,2026-01-25 22:32:41.943321
VER_TITLE_000007_000,TITLE_000007,Original,HD,60,Atmos,Dolby Vision,486.52,True,2026-01-24 22:32:41.943368
VER_TITLE_000007_001,TITLE_000007,Remastered,4K,60,2.0,HDR10+,455.45,False,2025-08-13 22:32:41.943374
VER_TITLE_000007_002,TITLE_000007,Remastered,8K,50,Atmos,None,113.51,False,2026-01-08 22:32:41.943381
VER_TITLE_000007_003,TITLE_000007,Localized,8K,29.97,7.1,None,130.21,False,2026-02-13 22:32:41.943386
VER_TITLE_000007_004,TITLE_000007,Localized,8K,24,2.0,Dolby Vision,312.48,False,2025-12-21 22:32:41.943392
VER_TITLE_000008_000,TITLE_000008,Remastered,4K,25,Atmos,None,457.26,False,2025-12-16 22:32:41.943430
VER_TITLE_000009_000,TITLE_000009,Original,4K,30,7.1,None,488.93,False,2025-08-02 22:32:41.943462
VER_TITLE_000009_001,TITLE_000009,Original,8K,50,2.0,HDR10+,427.53,True,2026-05-17 22:32:41.943469
VER_TITLE_000010_000,TITLE_000010,Original,4K,29.97,Atmos,Dolby Vision,387.66,False,2025-05-24 22:32:41.943498
VER_TITLE_000010_001,TITLE_000010,Original,HD,24,5.1,SDR,221.26,False,2025-09-10 22:32:41.943504
VER_TITLE_000010_002,TITLE_000010,Edited,HD,50,5.1,None,281.19,False,2026-01-03 22:32:41.943508
VER_TITLE_000010_003,TITLE_000010,Edited,8K,60,Atmos,SDR,325.63,False,2025-11-05 22:32:41.943513
VER_TITLE_000010_004,TITLE_000010,Edited,HD,60,2.0,SDR,363.98,True,2025-07-23 22:32:41.943518
VER_TITLE_000011_000,TITLE_000011,Localized,4K,25,7.1,SDR,220.09,True,2026-05-14 22:32:41.943552
VER_TITLE_000012_000,TITLE_000012,Edited,4K,25,7.1,SDR,349.06,False,2025-09-01 22:32:41.943608
VER_TITLE_000012_001,TITLE_000012,Remastered,4K,30,Atmos,SDR,141.7,True,2025-12-05 22:32:41.943616
VER_TITLE_000012_002,TITLE_000012,Original,8K,60,7.1,Dolby Vision,220.46,False,2026-04-09 22:32:41.943621
VER_TITLE_000012_003,TITLE_000012,Remastered,4K,25,7.1,HDR10,170.96,False,2025-06-12 22:32:41.943626
VER_TITLE_000012_004,TITLE_000012,Remastered,8K,29.97,2.0,None,282.87,True,2026-05-22 22:32:41.943631
VER_TITLE_000012_005,TITLE_000012,Localized,4K,25,Atmos,HDR10,472.38,False,2025-12-03 22:32:41.943636
VER_TITLE_000013_000,TITLE_000013,Original,HD,24,5.1,HDR10,227.77,True,2025-11-12 22:32:41.943675
VER_TITLE_000013_001,TITLE_000013,Localized,4K,60,7.1,None,337.69,True,2026-03-23 22:32:41.943681
VER_TITLE_000013_002,TITLE_000013,Remastered,HD,25,7.1,None,97.16,False,2026-05-22 22:32:41.943686
VER_TITLE_000013_003,TITLE_000013,Edited,8K,60,Atmos,None,338.25,True,2025-10-08 22:32:41.943691
VER_TITLE_000014_000,TITLE_000014,Edited,4K,25,Atmos,Dolby Vision,224.12,True,2025-12-25 22:32:41.943723
VER_TITLE_000014_001,TITLE_000014,Remastered,4K,23.976,2.0,SDR,13.18,False,2026-02-23 22:32:41.943729
VER_TITLE_000014_002,TITLE_000014,Original,4K,30,7.1,SDR,324.9,True,2025-09-05 22:32:41.943734
VER_TITLE_000015_000,TITLE_000015,Remastered,4K,30,2.0,SDR,29.96,False,2025-06-14 22:32:41.943763
VER_TITLE_000016_000,TITLE_000016,Original,4K,23.976,5.1,SDR,325.44,False,2026-05-10 22:32:41.943792
